domain,y,enrollment_HC_OSA-,retest_HC_OSA-,enrollment_PD_OSA-,retest_PD_OSA-,enrollment_HC_OSA+,retest_HC_OSA+,enrollment_PD_OSA+,retest_PD_OSA+
Memory,RAVLT-IR,21,10,23,17,20,5,20,13
Memory,RAVLT-B,21,10,23,17,20,5,20,13
Memory,RAVLT-DR,21,10,23,17,20,5,20,13
Memory,RAVLT-Rec-FP,20,10,23,17,20,5,20,13
Memory,RAVLT-Rec-FN,21,10,23,17,20,5,20,13
Attention,TMT-A,21,10,23,17,20,5,20,13
Attention,PST-D,21,10,21,17,20,5,19,11
Attention,PST-W,21,10,21,17,20,5,19,11
Executive function,TMT-B,21,10,23,15,20,5,20,13
Executive function,PST-C,21,10,21,17,20,5,19,11
Processing speed,GPT right,21,10,23,16,20,5,19,11
Processing speed,GPT left,21,10,23,16,20,5,19,11
