"domain","outcome","predictors","normality","homoscedasticity","outliers","non-normality","heteroscedasticity"
"memory","avlt_1_5","intercept",0.467382672685219,1,0,0,0
"memory","avlt_1_5","diagnosis",0.559230122437808,0.0270894810397871,0,0,1
"memory","avlt_1_5","ahi",0.33823245138232,0.257939095489558,0,0,0
"memory","avlt_1_5","hippo",0.895449845804439,0.427518879844924,0,0,0
"memory","avlt_6","intercept",0.000937037749764777,1,0,1,0
"memory","avlt_6","diagnosis",0.00232674716777974,0.701512417158421,0,1,0
"memory","avlt_6","ahi",0.0195050624163699,0.955880840392504,0,1,0
"memory","avlt_6","hippo",0.790632251955414,0.0522881244637938,0,0,0
"memory","avlt_8","intercept",0.35580174596564,1,0,0,0
"memory","avlt_8","diagnosis",0.737205032110232,0.62061552248801,0,0,0
"memory","avlt_8","ahi",0.466818051386587,0.160988394569931,0,0,0
"memory","avlt_8","hippo",0.453292434862686,0.392896143024214,0,0,0
"memory","avlt_r_fp","intercept",0.00280734324558838,1,0,1,0
"memory","avlt_r_fp","diagnosis",0.0239487947480581,0.528591834423876,0,1,0
"memory","avlt_r_fp","ahi",0.0495195300740734,0.551084461643085,0,1,0
"memory","avlt_r_fp","hippo",0.22681432370148,0.53847279227163,0,0,0
"memory","avlt_r_fn","intercept",4.54110287018022e-05,1,0,1,0
"memory","avlt_r_fn","diagnosis",0.00136902776176547,0.351695207555504,0,1,0
"memory","avlt_r_fn","ahi",0.00269431548076139,0.288222140889311,0,1,0
"memory","avlt_r_fn","hippo",0.0471296057374611,0.604422093082477,0,1,0
"attention","tmt_a","intercept",0.00673460593248007,1,0,1,0
"attention","tmt_a","diagnosis",0.0631940136088441,0.00285153908167247,0,0,1
"attention","tmt_a","ahi",0.0398612640492593,0.0471709658275793,0,1,1
"attention","tmt_a","hippo",0.106088268406591,0.14802949094062,0,0,0
"attention","stroop_body","intercept",0.0184238494363024,1,0,1,0
"attention","stroop_body","diagnosis",0.0233103562764868,0.601051164034002,0,1,0
"attention","stroop_body","ahi",0.0606607511755712,0.162348849676369,0,0,0
"attention","stroop_body","hippo",0.376835907397217,0.446858931347427,0,0,0
"attention","stroop_slova","intercept",9.69249489151116e-05,1,0,1,0
"attention","stroop_slova","diagnosis",0.00114234689972485,0.0773222122722999,0,1,0
"attention","stroop_slova","ahi",0.00540695106675488,0.00741450067861089,0,1,1
"attention","stroop_slova","hippo",0.125574494817689,0.0052994687309241,0,0,1
"executive","tmt_b","intercept",0.000985272884587428,1,0,1,0
"executive","tmt_b","diagnosis",0.0921258002612796,0.000161710197467947,0,0,1
"executive","tmt_b","ahi",0.0769486143162101,0.000209272085706827,0,0,1
"executive","tmt_b","hippo",0.583047191645115,0.000244085873710345,0,0,1
"executive","stroop_barvy","intercept",0.486152092237054,1,0,0,0
"executive","stroop_barvy","diagnosis",0.558258451919908,0.944352891209257,0,0,0
"executive","stroop_barvy","ahi",0.797539639028548,0.266196887191071,0,0,0
"executive","stroop_barvy","hippo",0.328975749707923,0.286275224433582,0,0,0
"speed","gpt_phk","intercept",2.76546931496976e-07,1,0,1,0
"speed","gpt_phk","diagnosis",2.14878769218663e-08,1.01667901424139e-05,0,1,1
"speed","gpt_phk","ahi",8.81691078078121e-09,0.00232124675085527,0,1,1
"speed","gpt_phk","hippo",1.68661602757769e-08,7.6520344563874e-07,0,1,1
"speed","gpt_lhk","intercept",0.000244875988030716,1,0,1,0
"speed","gpt_lhk","diagnosis",0.2021814613855,0.000391254465698004,0,0,1
"speed","gpt_lhk","ahi",0.0652910943210488,0.0018507877364084,0,0,1
"speed","gpt_lhk","hippo",0.250085217314022,0.0100460431127413,0,0,1
