structure,F value,Df,Pr(>F),beta,b2.5,b97.5
Whole_hippocampus_rhx,9.27508893059208,1,0.00313384800110648,1.0997229794304,0.381252590897835,1.81819336796297
Whole_hippocampal_head_rhx,14.9741616694458,1,0.000219460958812215,1.39567849156823,0.678051538832598,2.11330544430385
Whole_hippocampal_body_rhx,7.59082215263907,1,0.00724342278328521,1.02503774580778,0.284784935831187,1.76529055578438
Hippocampal_tail_rhx,0.0279443964093567,1,0.867656242185274,0.0686622122140149,-0.748587995789723,0.885912420217753
hippocampal_fissure_rhx,0.214362111215986,1,0.644611228723384,-0.186265020551873,-0.986729208164876,0.614199167061131
fimbria_rhx,0.813763451134565,1,0.369684588518415,0.360097110587655,-0.43414911781153,1.15434333898684
parasubiculum_rhx,3.23286461736253,1,0.0759003010695147,0.742419449310556,-0.0791422724103261,1.56398117103144
HATA_rhx,9.38268296456729,1,0.00297334167582862,1.28977861920167,0.451986507241172,2.12757073116217
presubiculum_head_rhx,10.7324575119487,1,0.00155083298897958,1.20400674182438,0.472759999101673,1.93525348454708
subiculum_head_rhx,5.1483904657237,1,0.0259276853712032,0.888131993950126,0.10933118965015,1.6669327982501
CA1_head_rhx,10.2902295240381,1,0.00191617756190502,1.225586691097,0.465407249957657,1.98576613223634
CA3_head_rhx,4.00283558511079,1,0.0487736526130211,0.854421347980074,0.00470723893443503,1.70413545702571
molecular_layer_HP_head_rhx,6.56959989691937,1,0.0122235861671405,0.919126282369909,0.205632259592413,1.6326203051474
GC_ML_DG_head_rhx,7.70747513295054,1,0.00682850751761102,1.15898672194857,0.32835787612225,1.98961556777489
CA4_head_rhx,7.07899736494322,1,0.00940049086237612,1.07382560672351,0.270794265651962,1.87685694779506
presubiculum_body_rhx,8.33188350260478,1,0.00499223141183552,1.17936181170187,0.366418838980191,1.99230478442356
subiculum_body_rhx,5.23589478612126,1,0.0247318109894997,0.97117126773265,0.12669979237317,1.81564274309213
CA1_body_rhx,1.14124501939487,1,0.288562869380813,0.428602793719795,-0.369667861426905,1.22687344886649
CA3_body_rhx,0.642504121851152,1,0.425150697920799,0.344617280041062,-0.51081120150439,1.20004576158651
molecular_layer_HP_body_rhx,3.82691790651471,1,0.0538822418306353,0.726367430431054,-0.0124147376369467,1.46514959849905
GC_ML_DG_body_rhx,5.06387242036715,1,0.0271410952123787,0.839023380053762,0.0971713320809852,1.58087542802654
CA4_body_rhx,3.4329624725061,1,0.0675493752663185,0.707740175683776,-0.0522779261822932,1.46775827754985
Whole_hippocampus_lhx,10.0609160291174,1,0.00213970619453953,1.16239023188204,0.433238680237935,1.89154178352615
Whole_hippocampal_head_lhx,11.5136706624587,1,0.00107136845086448,1.20842894784041,0.499832724027015,1.9170251716538
Whole_hippocampal_body_lhx,6.17278058714108,1,0.0150338346901105,0.972588339220996,0.193703495544968,1.75147318289702
Hippocampal_tail_lhx,4.04828000275637,1,0.0475405222328072,0.781737267993537,0.00868268386832871,1.55479185211875
hippocampal_fissure_lhx,3.87868422583187,1,0.0523215359549421,-0.712441981995294,-1.43220894017501,0.0073249761844203
fimbria_lhx,0.771167100992703,1,0.382453707757039,0.383852219932143,-0.485857701619267,1.25356214148355
parasubiculum_lhx,1.51554590608479,1,0.221857409640592,0.476317951382518,-0.293515921592092,1.24615182435713
HATA_lhx,3.85988487983184,1,0.0528826011492548,0.786712338104437,-0.0100217522417894,1.58344642845066
presubiculum_head_lhx,8.65940976811419,1,0.00424273915236246,1.07643504184961,0.348607817505781,1.80426226619343
subiculum_head_lhx,8.63030466262336,1,0.00430432903848738,1.19021795476366,0.384101013094353,1.99633489643296
CA1_head_lhx,7.21673788292548,1,0.00876097968225836,1.07575017681223,0.278993750460691,1.87250660316378
CA3_head_lhx,2.28174558316924,1,0.134795898761756,0.585502325108182,-0.185720065038934,1.3567247152553
molecular_layer_HP_head_lhx,3.57168076765791,1,0.0623500089653896,0.682169253550759,-0.0360225399120966,1.40036104701361
GC_ML_DG_head_lhx,9.12992672691223,1,0.00336478617492599,1.2033723049311,0.410960419582529,1.99578419027968
CA4_head_lhx,5.95416855264547,1,0.0168651966755014,0.944424003139156,0.174334739130373,1.71451326714794
presubiculum_body_lhx,3.71548477926058,1,0.0574152332084323,0.815516039929581,-0.0262848466888629,1.65731692654802
subiculum_body_lhx,3.81662898336795,1,0.0541983912783447,0.819338516398503,-0.0151262686395416,1.65380330143655
CA1_body_lhx,1.77888782478539,1,0.186024257806941,0.538953928268518,-0.265057043134498,1.34296489967153
CA3_body_lhx,2.11219770595443,1,0.149992775335355,0.556737575768239,-0.205460530624678,1.31893568216116
molecular_layer_HP_body_lhx,2.0162245388869,1,0.159463152845289,0.567980850145897,-0.227901475105926,1.36386317539772
GC_ML_DG_body_lhx,5.60164707080234,1,0.0203303948807476,0.972862265672121,0.15500389666892,1.79072063467532
CA4_body_lhx,5.34705427478669,1,0.0232962953749988,0.940607032371313,0.131258581245645,1.74995548349698
